CS103,Machines  Languages and Computation,psb11101
CS103,Machines  Languages and Computation,aes04117
CS104,Information and Information Systems,ftb11115
CS104,Information and Information Systems,caas45
CS104,Information and Information Systems,xeb08186
CS105,Programming Foundations,aes02103
CS106,Computer Systems and Organisation,cgb08121
CS107,Fundamentals of Computer Systems,kwb13215
CS109,Topics in Computing 1,aes04110
CS110,Combinatorics for Computer Science 1,syb11102
CS207,Advanced Programming,kwb13215
CS208,Logic and Algorithms,syb11102
CS208,Logic and Algorithms,clb11104
CS208,Logic and Algorithms,aes04104
CS209,User and Data Modelling,ckb13101
CS209,User and Data Modelling,aes02112
CS210,Computer Systems and Architecture,aes03120
CS211,Professional Issues in Computing,hes02101
CS212,Topics in Computing 2,xeb08186
CS212,Topics in Computing 2,ckb13101
CS215,Combinatorics for Computer Science 2,nxb11101
CS308,Building Software Systems ,cads32
CS308,Building Software Systems ,aes00104
CS310,Foundations of Artificial Intelligence,aes04117
CS311,Programming Language Definitions and Implementation ,aes04104
CS312,Web Applications Development,caas45
CS313,Computer Systems and Concurrency,aes03120
CS316,Functional Programming,psb11101
CS317,Mobile App Development,aes02112
CS408,Individual Project,aes03120
CS409,Software Architecture and Design,cads32
CS409,Software Architecture and Design,aes02104
CS410,Advanced Functional Programming,cgb08121
CS411,Theory of Computation,nxb11101
CS411,Theory of Computation,clb11104
CS412,Information Access and Mining,xeb08186
CS412,Information Access and Mining,clb11104
CS413,Embedded Systems,aes03120
CS414,Digital Forensics,ftb11115
CS415,Industrial Placement,aes02104
CS416,Industrial Placement 1,aes02104
CS546,Group Project (MEng) ,aes02104
CS547,Advanced Topics in Software Engineering ,aes02104
CS549,Distributed Information System,cads15
CS551,Mobile Software and Applications ,aes00104
CS552,Industrial Placement 2 (MEng),aes02104
CS951,Information Systems Architecture,aes02107
CS954,Information Retrieval and Access ,hes02101
CS954,Information Retrieval and Access ,byb14162
CS956,Business Analytics,xeb08186
CS956,Business Analytics,nxb11101
CS965,Computer Security ,ftb11115
CS952,Database and Web Systems Development,aes04110
CS952,Database and Web Systems Development,cads15
CS955,Information Law ,hes02101
CS957,Research Methods ,aes02114
CS958,Project,xeb08186
CS961,Organisation of Knowledge,trb15101
CS961,Organisation of Knowledge,byb14162
CS959,Library Technology and Systems,trb15101
CS960,Managing Information Services ,aes02107
CS962,Libraries Information and Society,hes02101
CS969,Personal Study,aes04117
CS970,Foundations of Computer Science,aes04104
CS970,Foundations of Computer Science,ckb13101
CS971,Evolutionary Computation for Finance,aes02104
CS105,Programming Foundations,cads32
CS106,Computer Systems and Organisation,kwb13215
CS207,Advanced Programming,aes02103
CS210,Computer Systems and Architecture,aes00104
CS414,Digital Forensics,caas45
